param_idx,float32,int8_dequant,layer
0,-0.12449719643516588,-0.12606753,1
1,-0.11740521185812958,-0.110309094,1
2,2.001322143420746,2.001322,1
3,0.6923561663603869,0.6933714,1
4,0.34442417328061337,0.3466857,1
5,-0.013296631115506571,-0.015758442,1
6,-1.9110229490250052,-1.9067714,1
7,1.23684365587001,1.2291584,1
8,0.22356836893370288,0.22061819,1
9,0.19365900623261298,0.18910131,1
10,-0.9215535914994687,-0.9139896,1
11,1.1110881549258378,1.1188494,1
12,1.2009236815485103,1.1976416,1
13,-0.009885698562369587,-0.015758442,1
14,-0.7236258969951304,-0.7248883,1
15,-0.10290649786864063,-0.110309094,1
16,-0.21138730358844945,-0.20485975,1
17,-0.5583598568226119,-0.55154544,1
18,-0.25692915081266077,-0.25213507,1
19,0.1728225573169277,0.17334285,1
20,0.7462248855935899,0.7406468,1
21,-0.12774063022211554,-0.12606753,1
22,-0.9077448529762825,-0.9139896,1
23,0.15426807745950044,0.15758441,1
24,0.04559641372487458,0.047275327,1
25,1.5007692650347086,1.497052,1
26,-0.7089112300841163,-0.70912987,1
27,-0.026931569622212787,-0.031516884,1
28,0.9229962456935489,0.92974806,1
29,-0.25135163822026696,-0.25213507,1
30,0.2559115327971156,0.25213507,1
31,-0.18373127986927873,-0.18910131,1
32,-0.5089843151341509,-0.50427014,1
33,1.7760923636373087,1.7807039,1
34,1.3063764115480625,1.3079506,1
35,-0.17854471484363144,-0.17334285,1
36,-0.0713663490726003,-0.07879221,1
37,0.01595753493551589,0.015758442,1
38,0.17528374591237036,0.17334285,1
39,-0.029485230035642296,-0.031516884,1
