param_idx,float32,int8_dequant,abs_error,rel_error
0,-0.1867528,-0.1867528,0.0,0.0
1,0.42701417,0.42701417,0.0,0.0
2,0.6912857,0.6912857,0.0,0.0
3,0.38927776,0.38927776,0.0,0.0
4,-0.4269054,-0.4269054,0.0,0.0
5,-0.252115,-0.252115,0.0,0.0
6,-0.47174525,-0.47174525,0.0,0.0
7,0.7466826,0.7466826,0.0,0.0
8,0.11802653,0.11802653,0.0,0.0
9,0.052470576,0.052470576,0.0,0.0
10,-0.8888488,-0.8888488,0.0,0.0
11,0.64807,0.64807,0.0,0.0
12,0.4113614,0.4113614,0.0,0.0
13,-0.21563424,-0.21563424,0.0,0.0
14,-0.3682454,-0.3682454,0.0,0.0
15,-0.23102601,-0.23102601,0.0,0.0
16,-0.27906534,-0.27906534,0.0,0.0
17,-0.15129068,-0.15129068,0.0,0.0
18,0.22289602,0.22289602,0.0,0.0
19,-0.02561371,-0.02561371,0.0,0.0
20,0.19119814,0.19119814,0.0,0.0
21,-0.28094512,-0.28094512,0.0,0.0
22,-0.14806388,-0.14806388,0.0,0.0
23,0.07520418,0.07520418,0.0,0.0
24,-0.07511565,-0.07511565,0.0,0.0
25,0.18753706,0.18753706,0.0,0.0
26,-0.117330134,-0.117330134,0.0,0.0
27,0.25248075,0.25248075,0.0,0.0
28,0.085797526,0.085797526,0.0,0.0
29,-0.4067056,-0.4067056,0.0,0.0
30,0.25011885,0.25011885,0.0,0.0
31,-0.21472837,-0.21472837,0.0,0.0
32,-0.6070936,-0.6070936,0.0,0.0
33,0.39403525,0.39403525,0.0,0.0
34,0.4502692,0.4502692,0.0,0.0
35,0.41252884,0.41252884,0.0,0.0
36,-0.30484873,-0.30484873,0.0,0.0
37,-0.41366586,-0.41366586,0.0,0.0
38,0.29397082,0.29397082,0.0,0.0
39,0.12284651,0.12284651,0.0,0.0
40,-0.09342872,-0.09342872,0.0,0.0
41,-0.33747983,-0.33747983,0.0,0.0
42,1.0647308,1.0647308,0.0,0.0
43,0.59924495,0.59924495,0.0,0.0
44,0.6868654,0.6868654,0.0,0.0
45,0.44488114,0.44488114,0.0,0.0
46,0.037786826,0.037786826,0.0,0.0
47,0.8271063,0.8271063,0.0,0.0
48,-0.5015455,-0.5015455,0.0,0.0
49,-0.27575523,-0.27575523,0.0,0.0
50,-0.2643802,-0.2643802,0.0,0.0
51,0.3450523,0.3450523,0.0,0.0
52,-0.36698017,-0.36698017,0.0,0.0
53,0.010380263,0.010380263,0.0,0.0
54,-0.38579953,-0.38579953,0.0,0.0
55,0.16018738,0.16018738,0.0,0.0
56,-0.93851507,-0.93851507,0.0,0.0
