bin_center,float32_count,int8_count
-1.1257804565921221,1,1
-1.007818864969607,0,0
-0.889857273347092,0,0
-0.7718956817245769,1,1
-0.6539340901020618,0,0
-0.5359724984795469,2,2
-0.4180109068570318,5,5
-0.3000493152345168,6,6
-0.1820877236120017,9,9
-0.06412613198948669,5,5
0.05383545963302827,6,6
0.17179705125554334,2,2
0.2897586428780584,2,2
0.4077202345005734,5,5
0.5256818261230884,2,2
0.6436434177456035,4,4
0.7616050093681185,3,3
0.8795666009906336,2,2
0.9975281926131485,0,0
1.1154897842356635,2,2
